epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14692.3,1.17687,0.62815,1.00403,0.87598,0.79083,0.85502,0.53795,1.14648,0.54473,0.97791,0.005842,0.005842,0.005842
44,15033.3,1.17706,0.62268,1.00831,0.87802,0.79029,0.85449,0.53877,1.14326,0.54171,0.97729,0.005743,0.005743,0.005743
45,15374,1.17479,0.62228,1.00401,0.8773,0.79169,0.85555,0.53995,1.13915,0.53879,0.97631,0.005644,0.005644,0.005644
46,15714.3,1.17116,0.61991,1.0056,0.87845,0.79358,0.85701,0.54296,1.13658,0.53785,0.97551,0.005545,0.005545,0.005545
47,16055,1.16033,0.61646,1.00195,0.87899,0.79393,0.85753,0.54377,1.13356,0.53522,0.97412,0.005446,0.005446,0.005446
48,16395.8,1.15537,0.61183,0.99949,0.87974,0.79435,0.85864,0.54496,1.131,0.53233,0.97294,0.005347,0.005347,0.005347
49,16737.7,1.15287,0.60789,1.00088,0.88111,0.79628,0.85944,0.54649,1.12686,0.52966,0.97205,0.005248,0.005248,0.005248
50,17079.2,1.15694,0.61018,1.00061,0.88302,0.79701,0.86091,0.54828,1.12299,0.52733,0.97116,0.005149,0.005149,0.005149
51,17420.8,1.14308,0.60486,0.9951,0.87829,0.79915,0.86159,0.54964,1.12009,0.52537,0.9706,0.00505,0.00505,0.00505
52,17762.1,1.13712,0.59733,0.99524,0.87541,0.80212,0.8618,0.55108,1.11662,0.52392,0.96979,0.004951,0.004951,0.004951
53,18104.1,1.13534,0.59862,0.99378,0.87862,0.80231,0.8623,0.55192,1.11401,0.52249,0.96897,0.004852,0.004852,0.004852
54,18445.7,1.13416,0.5968,0.99232,0.88009,0.80076,0.86262,0.55335,1.11198,0.52174,0.96803,0.004753,0.004753,0.004753
55,18786.7,1.13063,0.59251,0.99065,0.87995,0.80259,0.86273,0.55411,1.11089,0.52029,0.96731,0.004654,0.004654,0.004654
56,19128.2,1.12171,0.58902,0.98787,0.88079,0.80097,0.86328,0.55423,1.10927,0.51935,0.96663,0.004555,0.004555,0.004555
57,19469.2,1.11105,0.5859,0.98432,0.88263,0.80209,0.86439,0.55473,1.10774,0.51818,0.966,0.004456,0.004456,0.004456
